NAME                                              STATUS    ISIN CODE           CODE      TRADING COUNTER NAME
3CNERGY LIMITED                                             SG0502000029        502       3Cnergy
KAISA US$200M10.875%PERSEC                                  XS2238208917        JGGB      Kaisa 10.875%PerSec S
KAISA US$200M8.65%N220722                                   XS2367127532        WT9B      Kaisa n8.65%220722S
KAISA US$23.081M8.5%N220630                                 XS1627597955        75ZB      Kaisa n8.5%220630S
KAISA US$250M6.5%N211207                                    XS2268673337        IPCB      Kaisa n6.5%211207S
KAISA US$300M10.5%N220907                                   XS2381572002        YXKB      Kaisa n10.5%220907S
KAISA US$300M10.875%N230723                                 XS2030334192        XSSB      Kaisa n10.875%230723S
KAISA US$300M11.25%N250416                                  XS2203824789        XV9B      Kaisa n11.25%250416S
KAISA US$300M11.65%N260601                                  XS2347581873        QYAB      Kaisa n11.65%260601S
KAISA US$300M11.95%N231112                                  XS2078247983        9H2B      Kaisa n11.95%231112S
KAISA US$300M9.95%N250723                                   XS2106329134        HRTB      Kaisa n9.95%250723S
KAISA US$350M11.25%N220409                                  XS1973544700        SPYB      Kaisa n11.25%220409S
KAISA US$400M11.5%N230130                                   XS2002235518        YIAB      Kaisa n11.5%230130S
KAISA US$400M11.95%N221022A                                 US48300TAD46        FALB      Kaisa n11.95%221022A
KAISA US$400M11.95%N221022R                                 USG52132BW96        RSBB      Kaisa n11.95%221022R
KAISA US$400M9.75%N230928                                   XS2201954067        YXOB      Kaisa n9.75%230928S
KAISA US$500M10.5%N250115                                   XS2101310196        IOBB      Kaisa n10.5%250115S
KAISA US$702.497M9.375%N240630                              XS1627598094        76AB      Kaisa n9.375%240630S
KAKAO CORP GDR A                                            US48312K1079        CQC       GDR Kakao Corp US$ A
KAKAO CORP GDR R                                            US48312K2069        CQD       GDR Kakao Corp US$ R
KAKAO US$300MZ230428                                        XS2247556199        VIEB      Kakao z230428S
KARIN TECHNOLOGY HLDGS LIMITED                              BMG521971033        K29       Karin Tech
KARUTURI US$50M CB121019                                    XS0323331339        3KYB      Karuturi cb121019S
KASIKORNBANK US$100MF231030                                 XS1892106045        GPYB      Kasikornbkf231030S
KASIKORNBANK US$350M4%PERP                                  XS2371174504        MABB      Kasikornbk4%PerNoteS
KASIKORNBANK US$500M3%N180320                               XS0830448881        2IQB      Kasikornbkn3%180320S
KASIKORNBANK US$500M5.275%PERP                              XS2242131071        QFUB      Kasikornb5.275%PerNoteS
KASIKORNBKUS$400M2.375%N220406                              XS1496392330        4X8B      Kasikornbkn2.375%220406S
KASIKORNBKUS$400M3.256%N230712                              XS1717207960        8ESB      Kasikornbkn3.256%230712S
KASIKORNBKUS$800M3.343%N311002                              XS2056558088        EIYB      Kasikornbkn3.343%311002S
KATRINA GROUP LTD.                                          SG1DA5000005        1A0       Katrina
KAWASAKI KK YEN50B CB180926                                 XS0967009381        2C6B      Kawasaki cb180926S
KB SEC USD300M2.125%N261101                                 XS2393758987        XICB      KB Sec n2.125%261101S
KBCAPITAL US$300M1.5%N251028                                XS2243816977        WFSB      KBCapital n1.5%251028S
KBKOOKMCARDUS$300M1.5%N260513                               XS2332357099        QFDB      KBKookmCard n1.5%260513S
KBKOOKMCARDUS$400M4%N250609                                 XS2473375124        OGQB      KBKookmCard n4%250609S
KBKOOKMS$311.4675M1.02%N241126                              XS2213956118        XUCB      KBKookmin n1.02%241126S
KDBLIFEINSURUS$200M7.5%PERSEC                               XS1814668122        8WWB      KDBLife 7.5%PerSecS
KEB HANA BANK US$400MF221002A                               US482466AF67        WQ1B      KEB Hana Bank f221002A
KEB HANA BANK US$400MF221002R                               USY4S96CSP92        9A1B      KEB Hana Bank f221002R
KEB HANABKCNY220M3%N230420                                  XS2333435878        NQCB      KEBHanaBkn3%230420S
KEB HANABKCNY320M3%N240325                                  XS2322272498        MCDB      KEBHanaBkn3%240325S
KEB HANABKCNY325M3.1%N230401                                HK0000722006        XHEB      KEBHanaBkn3.1%230401S
KEB HANABKCNY750M3.01%N240324                               HK0000707569        JTPB      KEBHanaBkn3.01%240324S
KEB HANABKEUR500M0.01%B260126                               XS2282707178        PVNB      KEBHanaBkb0.01%260126S
KEB HANABKUS$200M4.625%N231024                              XS0985189678        2H4B      KEBHanaBkn4.625%231024S
KEB HANABKUS$300M 4.25%N241014                              XS1120608713        18EB      KEBHanaBkn4.25%241014S
KEB HANABKUS$300M3.5%PERPA                                  US482466AG41        9C4B      KEBHanaBk3.5%PerNA
KEB HANABKUS$300M3.5%PERPR                                  USY4S96CVW07        VIXB      KEBHanaBk3.5%PerNR
KEB HANABKUS$350M1.75%N191018A                              US482466AA70        4Z1B      KEBHanaBkn1.75%191018A
KEB HANABKUS$350M1.75%N191018R                              USY46006AA34        4Z2B      KEBHanaBkn1.75%191018R
KEB HANABKUS$500M2.5%N190612A                               US500632AF16        10SB      KEBHanaBkn2.5%190612A
KEB HANABKUS$500M2.5%N190612R                               USY48585BE59        10TB      KEBHanaBkn2.5%190612R
KEB HANABKUS$600M1.25%N261216A                              US409634AB87        QVCB      KEBHanaBkn1.25%261216A
KEB HANABKUS$600M1.25%N261216R                              USY3004RAA15        VCXB      KEBHanaBkn1.25%261216R
KEB HANABKUS$600M3.25%N270330A                              US48723RAC97        5E8B      KEBHanaBkn3.25%270330A
KEB HANABKUS$600M3.25%N270330R                              US48723TAC53        KBMB      KEBHanaBkn3.25%270330R
KEBHANABK US$315MF230726                                    XS1857641333        LBYB      KEBHanaBkf230726S
KEBHANABK US$400MF240613                                    XS2007215606        OZWB      KEBHanaBkf240613S
KEBHANABKUS$300M2.125%N211018A                              US482466AB53        4Z3B      KEBHanaBkn2.125%211018A
KEBHANABKUS$300M2.125%N211018R                              USY46006AB17        4Z4B      KEBHanaBkn2.125%211018R
KEBHANABKUS$300M3.375%N220130A                              US482466AD10        RGGB      KEBHanaBkn3.375%220130A
KEBHANABKUS$300M3.375%N220130R                              USY46006AC99        V4XB      KEBHanaBkn3.375%220130R
KEBHANABKUS$300M3.5%N240130A                                US482466AE92        ZJ4B      KEBHanaBkn3.5%240130A
KEBHANABKUS$300M3.5%N240130R                                USY46006AD72        FYUB      KEBHanaBkn3.5%240130R
KEBHANABKUS$350MF220914                                     XS1678969798        7V0B      KEBHanaBkf220914S
KEBHANABKUS$425MF230313                                     XS1777363687        8KSB      KEBHanaBkf230313S
KEBHANABKUS$500MF200405A                                    US482466AC37        6Q3B      KEBHanaBkf200405A
KEBHANABKUS$500MF200405R                                    USY4S96CEX72        6Q4B      KEBHanaBkf200405R
KENBOURNEUS$450M4.7%N280122A                                US48855KAC45        REAB      Kenbourne n4.7%280122A
KENBOURNEUS$450M4.7%N280122R                                USL5831KAC01        YD4B      Kenbourne n4.7%280122R
KENBOURNEUS$450M6.875%N241126A                              US48855KAA88        YJPB      Kenbourne n6.875%241126A
KENBOURNEUS$450M6.875%N241126R                              USL5831KAA45        QBGB      Kenbourne n6.875%241126R
KENCANA AGRI LIMITED                                        SG1CE4000000        BNE       Kencana Agri
KEONG HONG HOLDINGS LIMITED                                 SG2D92977651        5TT       Keong Hong
KEONG HONG S$48M6.25%N230819                                SGXF65599734        DGHB      KeongHong n6.25%230819S
KEP INFRA S$200M 4.75% PERP SEC                             SGXF11132135        YLLB      KepInf 4.75% PerSec S
KEP INFRA S$200M3%N261201                                   SGXF91351902        X5PB      KepInfra n3%261201S
KEP INFRA S$250M4.11%N270505                                SGXF66092085        MTPB      KepInfra n4.11%270505S
KEP INFRA S$300M 4.3% PERP SEC                              SGXF78346933        EIOB      KepInf 4.3% PerSec S
KEPCORP 5XLONGSOCGEN 230920                                 LU1986501705        DKEW      KepCorp 5xLongSG230920
KEPCORP 5XLONGSOCGEN 240424                                 LU2348852356        DHNW      KepCorp 5xLongSG240424
KEPCORP 5XSHORTSOCGEN 221201                                LU1986494570        DAZW      KepCorp 5xShortSG221201
KEPCORP 5XSHORTSOCGEN 240424                                LU2348852430        DGKW      KepCorp 5xShortSG240424
KEPCORP MB ECW221031                                        SGXN96991769        HMPW      KepCorpMBeCW221031
KEPPEL CORP S$150M3%N240507                                 SGXF73155974        YPPB      KepCorp n3%240507S
KEPPEL CORP S$250M2.25%N250420                              SGXF41919147        NFHB      KepCorp n2.25%250420S
KEPPEL CORP S$300M4%N420907                                 SG6W26985096        2HFB      KepCorp n4%420907S
KEPPEL CORP S$350M3.66%N290507                              SGXF55503175        ZJ8B      KepCorp n3.66%290507S
KEPPEL CORP S$400M2.9%PERSEC                                SGXF23112406        GBJB      KepCorp 2.9%PerSecS
KEPPEL CORP US$300M2.459%N250604                            XS2182877865        MNWB      KepCorp n2.459%250604S
KEPPEL CORPORATION LIMITED                                  SG1U68934629        BN4       Keppel Corp
KEPPEL DC REIT                                              SG1AF6000009        AJBU      Keppel DC Reit
KEPPEL INFRA TRUST WEF 2015                                 SG1U48933923        A7RU      Kep Infra Tr
KEPPEL PACIFIC OAK US REIT                                  SG1EA1000007        CMOU      KepPacOakReitUSD
KEPPEL REIT                                                 SG1T22929874        K71U      Keppel Reit
KEPPEL REIT S$200M1.9%CB240410                              XS1978206834        KULB      KepReitcb1.9%240410S
KEPPEL T&T S$100M2.85%N240905                               SG7GI8000005        7U5B      KepT&Tn2.85%240905S
KEPPELCORP S$200M3%N261001                                  SGXF80233699        9ACB      KepCorp n3%261001S
KEPPELCORPS$200M3.725%N231130                               SG70A6000003        38BB      KepCorp n3.725%231130S
KEPPELLANDS$150M2.843%N230905                               SG7FI4000001        7K3B      KepLand n2.843%230905S
KEPPELLANDS$280M2%N260528                                   SGXF35512882        OXHB      KepLand n2%260528S
KEPPELREITMTNS$150M2.07%280924                              SGXF49955192        9CHB      KepREITMTN n2.07%280924S
KEPPELREITMTNS$75M3.275%240408                              SG7AF0000002        6R0B      KepREITMTN3.275%240408S
KEPPELREITS$150M3.15%PERSEC                                 SGXF71913440        UEKB      KepReit3.15%PerSec S
KERALAINFINR21.5B9.723%N240329                              XS1966673342        X2VB      KeralaInfrn9.723%240329S
KEXPORT LEASING US$150MF250722                              XS1249275527        32VB      Kexport f250722S
KHONG GUAN LIMITED                                          SG1E13001268        K03       Khong Guan
KIACORP US$300M1%N240416A                                   US49374JAB98        MZYB      KiaCorp n1%240416A
KIACORP US$300M1%N240416R                                   USY4760JAB99        WX8B      KiaCorp n1%240416R
KIACORP US$300M3.5%N271025A                                 US493738AF58        82SB      KiaCorp n3.5%271025A
KIACORP US$300M3.5%N271025R                                 USY47606AH47        82TB      KiaCorp n3.5%271025R
KIACORP US$400M1.75%N261016A                                US49374JAA16        YHFB      KiaCorp n1.75%261016A
KIACORP US$400M1.75%N261016R                                USY4760JAA17        NBUB      KiaCorp n1.75%261016R
KIACORP US$600M3%N230425A                                   US493738AE83        82QB      KiaCorp n3%230425A
KIACORP US$600M3%N230425R                                   USY47606AF80        82RB      KiaCorp n3%230425R
KIACORPUS$300M2.75%N270214A                                 US49374JAD54        LTTB      KiaCorp n2.75%270214A
KIACORPUS$300M2.75%N270214R                                 USY4760JAD55        NDXB      KiaCorp n2.75%270214R
KIACORPUS$300M3.25%N260421A                                 US493738AD01        3Z4B      KiaCorpn3.25%260421A
KIACORPUS$300M3.25%N260421R                                 USY47606AE16        3Z5B      KiaCorpn3.25%260421R
KIACORPUS$400M2.375%N250214A                                US49374JAC71        UKCB      KiaCorp n2.375%250214A
KIACORPUS$400M2.375%N250214R                                USY4760JAC72        MLUB      KiaCorp n2.375%250214R
KIACORPUS$400M2.625%N210421A                                US493738AC28        3Z6B      KiaCorpn2.625%210421A
KIACORPUS$400M2.625%N210421R                                USY47606AD33        3Z7B      KiaCorpn2.625%210421R
KIM HENG LTD.                                               SG2G57000009        5G2       Kim Heng
KIMLY LIMITED                                               SG1DF1000008        1D0       Kimly
KING WAN CORPORATION LIMITED                                SG1J32888328        554       King Wan
KINGDEE 5XLONGSOCGEN 231220                                 LU1986504048        DLKW      Kingdee 5xLongSG231220
KINGDEE 5XSHORTSOCGEN 231220                                LU1986504121        DOOW      Kingdee 5xShortSG231220
KINGSMEN CREATIVES LTD                                      SG1W76939881        5MZ       KingsmenCreative
KINGSOF 5XLONGSOCGEN 220908                                 LU2267111040        DMDW      Kingsof 5xLongSG220908
KINGSOF 5XSHORTSOCGEN 230126                                LU2184317555        DZQW      Kingsof 5xShortSG230126
KINGSOF 5XSHORTSOCGEN 231220                                LU1986503669        DLSW      Kingsof 5xShortSG231220
KIRKHAM US$7.6M 14.25%N190615                               XS1245699407        31JB      Kirkham n14.25%190615S
KITCHEN CULTURE HOLDINGS LTD.                               SG2D45972171        5TI       Kitchen Culture
KLABIN US$500M5.75%N290403A                                 US49836AAA25        JVOB      Klabin n5.75%290403A
KLABIN US$500M5.75%N290403R                                 USA35155AA77        DVTB      Klabin n5.75%290403R
KLABIN US$500M7%N490403A                                    US49836AAB08        9GMB      Klabin n7%490403A
KLABIN US$500M7%N490403R                                    USA35155AB50        LCOB      Klabin n7%490403R
KNIGHTCASTLUS$200M7.99%N210123                              XS1733826181        8FZB      KnightCas n7.99%210123S
KNOWLEDGE US$450M3.5%B250406                                XS2461747250        ISSB      Knowledge b3.5%250406S
KODA LTD                                                    SG1CB1000009        BJZ       Koda
KODITGLOBALUS$300M3.619%250527                              XS2481329733        1YOB      KoditGlobal3.619%250527S
KOH BROTHERS ECO ENGG LIMITED                               SG1S95928879        5HV       Koh Eco
KOH BROTHERS ECO ENGG W230925                               SGXN18066740        KHDW      Koh Eco W230925
KOH BROTHERS GROUP LIMITED                                  SG1B06007705        K75       Koh Bros
KOH BROTHERS S$70M5.1%N221027                               SG7IB9000005        83BB      KohBrothers n5.1%221027S
KOOKMINBK CNY100M3%N220429                                  XS2337482934        LAGB      Kookmin n3%220429S
KOOKMINBK CNY100M3%N220516                                  XS2342917189        KBOB      Kookmin n3%220516S
KOOKMINBK CNY50M3.05%N220418                                XS2332870919        NMMB      Kookmin n3.05%220418S
KOOKMINBK EUR500M0.048%B261019                              XS2393768788        ZCFB      Kookmin b0.048%261019S
KOOKMINBK EUR500M0.052%B250715                              XS2199348231        GJTB      Kookmin b0.052%250715S
KOOKMINBK EUR500M2.375%B260127                              XS2488807244        6DZB      Kookmin b2.375%260127S
KOOKMINBK US$100M Z230324                                   XS2461797784        SEOB      Kookmin z230324S
KOOKMINBK US$20M0.99%N260119                                XS2285997784        LXAB      Kookmin n0.99%260119S
KOOKMINBK US$20MF221220                                     XS1739800198        8ECB      Kookmin F221220S
KOOKMINBK US$300MF230403                                    XS1793243939        8NMB      Kookmin f230403S
KOOKMINBK US$30M0.98%N260201                                XS2292261422        DOEB      Kookmin n0.98%260201S
KOOKMINBK US$35MF220526                                     XS1619361469        71VB      Kookmin f220526S
KOOKMINBK US$36M0.9%N260217                                 XS2297887957        JSZB      Kookmin n0.9%260217S
KOOKMINBK US$400MF220609                                    XS1624141435        74OB      Kookmin f220609S
KOOKMINBK US$44M F231005                                    XS1891329309        SSNB      Kookmin f231005S
KOOKMINBK US$450M4.5%N290201                                XS1932879130        OHMB      Kookmin n4.5%290201S
KOOKMINBK US$500M 4.35% PERP SEC A                          US50050GAL23        WD9B      Kookmin 4.35% PerSec A
KOOKMINBK US$500M 4.35% PERP SEC R                          US50050HAL06        VRSB      Kookmin 4.35% PerSec R
KOOKMINBK US$50M0.34%N220916                                XS2386941673        8G3B      Kookmin n0.34%220916S
KOOKMINBK US$50M0.74%N140317                                XS0904521266        2RAB      Kookmin0.74%140317S
KOOKMINBK US$50M0.99%N260115                                XS2284249351        EZDB      Kookmin n0.99%260115S
KOOKMINBK US$50MF181011                                     XS1595646149        6S7B      Kookmin f181011S
KOOKMINBK US$50MF221103                                     XS2404247897        JOAB      Kookmin f221103S
KOOKMINBK US$50MF230811                                     XS2214631371        LWTB      Kookmin f230811S
KOOKMINBK US$50MF250521                                     XS2177666307        94FB      Kookmin f250521S
KOOKMINBKUS$300M2.375%N270215A                              US50050GAR92        KQHB      Kookmin n2.375%270215A
KOOKMINBKUS$300M2.375%N270215R                              US50050HAR75        RAKB      Kookmin n2.375%270215R
KOOKMINBKUS$400M2.125%N250215A                              US50050GAQ10        ICXB      Kookmin n2.125%250215A
KOOKMINBKUS$400M2.125%N250215R                              US50050HAQ92        VA8B      Kookmin n2.125%250215R
KOOKMINBKUS$500M1.375%N260506A                              US50050GAP37        48KB      Kookmin n1.375%260506A
KOOKMINBKUS$500M1.375%N260506R                              US50050HAP10        ZAYB      Kookmin n1.375%260506R
KOOKMINBKUS$500M1.625%N170714A                              US50050GAE89        12HB      Kookminn1.625%170714A
KOOKMINBKUS$500M1.625%N170714R                              US50050HAE62        12GB      Kookminn1.625%170714R
KOOKMINBKUS$500M1.625%N190801A                              US50050GAH11        4N3B      Kookmin n1.625%190801A
KOOKMINBKUS$500M1.625%N190801R                              US50050HAH93        4N2B      Kookmin n1.625%190801R
KOOKMINBKUS$500M1.75%N250504A                               US50050GAM06        XPPB      Kookminn1.75%250504A
KOOKMINBKUS$500M1.75%N250504R                               US50050HAM88        X6YB      Kookminn1.75%250504R
KOOKMINBKUS$500M2.5%N301104A                                US50050GAN88        GGCB      Kookmin n2.5%301104A
KOOKMINBKUS$500M2.5%N301104R                                US50050HAN61        MSRB      Kookmin n2.5%301104R
KOOKMINBKUS$500M2.875%N230325A                              US50050GAK40        80FB      Kookmin n2.875%230325A
KOOKMINBKUS$500M2.875%N230325R                              US50050HAK23        80GB      Kookmin n2.875%230325R
KOP LIMITED                                                 SG2G85000005        5I1       KOP
KOREA ELE US$300M1.125%N260924                              XS2385061820        XOEB      KorEle n1.125%260924S
KOREA ELE US$500M2.5%N240624A                               US500631AT37        NGNB      KorEle n2.5%240624A
KOREA ELE US$500M2.5%N240624R                               USY4907LAA09        MOZB      KorEle n2.5%240624R
KOREA ELEUS$300M4%N270614A                                  US500631AW65        NXZB      KorEle n4%270614A
KOREA ELEUS$300M4%N270614R                                  USY4907LAD48        OYAB      KorEle n4%270614R
KOREA ELEUS$500M1.125%N250615A                              US500631AU00        X9PB      KorEle n1.125%250615A
KOREA ELEUS$500M1.125%N250615R                              USY4907LAB81        YYEB      KorEle n1.125%250615R
KOREA ELEUS$500M3.625%N250614A                              US500631AV82        JCYB      KorEle n3.625%250614A
KOREA ELEUS$500M3.625%N250614R                              USY4907LAC64        LRWB      KorEle n3.625%250614R
KOREA EUR700MZ250916                                        XS2226969686        QSEB      Korea z250916S
KOREA EUR700MZ261015                                        XS2376820259        GAWB      Korea z261015S
KOREA EUR750M 2.125%N240610                                 XS1075371986        10JB      Korea2.125%n240610S
KOREA EXPC HK$800M3.02%N230305                              XS1785327666        8LDB      KorExp n3.02%230305 S
KOREA EXPC SEK720M2.31%N320428                              XS1605397121        6W7B      KorExpC n2.31%320428 S
KOREA EXPC US$100M3.1%N260608                               XS1330104834        38OB      KorExpC n3.1%260608S
KOREA EXPC US$150MF220725                                   XS2033242517        MDPB      KorExpC f220725S
KOREA EXPC US$200MF221125                                   XS2079297946        YIUB      KorExpC f221125S
KOREA GAS EUR38M3.015%N280610                               XS0942796318        2WQB      KorGas n3.015%280610S
KOREA GAS EUR50M3%N230705                                   XS0950639004        2XCB      KorGas n3%230705S
KOREA GAS US$100M3.5%N291021                                XS1124644250        19EB      KoreaGas n3.5%291021S
KOREA GAS US$200M3.125%N251021                              XS1125539087        19AB      KoreaGasn3.125%251021S
KOREA GAS US$500M4.25%N201102A                              US50066AAA16        4NBB      KorGas n4.25%201102A
KOREA GAS US$500M4.25%N201102R                              US50066CAA71        4NCB      KorGas n4.25%201102R
KOREA GAS US$700M2.25%N170725A                              US50066AAE38        2FWB      KorGas n2.25%170725A
KOREA GAS US$700M2.25%N170725R                              US50066CAE93        2FXB      KorGas n2.25%170725R
KOREA GAS US$750M6.25%N420120A                              US50066AAD54        7WVB      KorGas n6.25%420120A
KOREA GAS US$750M6.25%N420120R                              US50066CAD11        7WUB      KorGas n6.25%420120R
KOREA GAS USD100M3.577%N290707                              XS1084305835        11YB      KorGas n3.577%290707S
KOREA GAS USD150M3.577%N290707                              XS1084371621        12KB      KoreaGas n3.577%290707S
KOREA INV US$300M1.375%N240719                              XS2363709762        IHZB      Korea Inv n1.375%240719S
KOREA INV US$300M2.125%N260719                              XS2363709929        GSYB      Korea Inv n2.125%260719S
KOREA MINEUS$425M4.125%N270420                              XS2457676257        XTYB      KoreaMinen4.125%270420S
KOREA RAIL AUD50M4.11%N320426                               XS1603464691        6U8B      Korea Rail n4.11%320426S
KOREA RAIL CAD110M3.07%N370607                              XS1625077455        72MB      Korea Rail n3.07%370607S
KOREA RAIL EUR50M1.89%N370609                               XS1629341477        74WB      Korea Rail n1.89%370609S
KOREA RAIL EUR60M1.41%N390411                               XS1979296420        KOLB      Korea Rail n1.41%390411S
KOREA RAIL HKD921M2.6%N230525                               XS1616407786        71HB      Korea Rail n2.6%230525S
KOREA RAIL SEK300M2.31%N320526                              XS1619984518        71XB      Korea Rail n2.31%320526S
KOREA RAIL US$150MF241129                                   XS2081570785        VH4B      Korea Rail f241129S
KOREA RAILHKD631M3.375%N230607                              XS1832541897        LPHB      KoreaRail n3.375%230607S
KOREA RES A$60M3.01%N400226                                 XS2123288040        XPVB      KoreaRes n3.01%400226S
KOREA RES US$350M2.25%200429A                               US50066JAA25        28SB      KoreaRes n2.25%200429A
KOREA RES US$350M2.25%200429R                               US50066KAA97        28TB      KoreaRes n2.25%200429R
KOREA RES US$425M3%N220424A                                 US50066JAB08        6U1B      KoreaRes n3%220424A
KOREA RES US$425M3%N220424R                                 US50066KAB70        6U2B      KoreaRes n3%220424R
KOREA RES US$500M1.75%N260415                               XS2325566847        X3NB      KoreaRes n1.75%260415S
KOREA RES US$500M4%N230418                                  XS1805377246        8RKB      KoreaRes n4%230418S
KOREA RES US$60M3.2%N400715                                 XS2202795451        GBVB      KoreaRes n3.2%400715S
KOREA SEP US$300M1%N260203                                  XS2209356398        IXNB      KoreaSEP n1%260203S
KOREA SEP US$300M2.125%N250203                              XS2104995399        9TXB      KorSEPn2.125%250203S
KOREA US$1B 3.875%N230911                                   US50064FAK03        2ZQB      Korea3.875%n230911S
KOREA US$1B 4.125%N440610                                   US50064FAL85        10IB      Korea4.125%n440610S
KOREA US$1B2.5%N290619                                      US50064FAQ72        DHOB      Korean2.5%290619S
KOREA US$500M1.75%N311015                                   US50064FAU84        9BSB      Korea n1.75%311015S
KOREA US$500M2%N240619                                      US50064FAR55        YRJB      Korean2%240619S
KOREA US$500M3.5%N280920                                    US50064FAP99        SLUB      Korean3.5%280920S
KOREA US$500M3.875%N480920                                  US50064FAN42        ODQB      Korean3.875%480920S
KOREA US$625M1%N300916                                      US50064FAS39        OXJB      Korea n1%300916S
KOREA USD1B 2.75%N270119                                    US50064FAM68        67LB      Korea n2.75%270119S
KOREADEBK AUD28M3.04%N320208                                XS2440243868        VKVB      KorDevBk n3.04%320208S
KOREADEBK AUD60M3.76%N280118                                XS1752686268        8MAB      KoreaDevBkn3.76%280118S
KOREADEBK CHF100M0.05%N221223                               XS1861618749        YO1B      KorDevBkn0.05%221223S
KOREADEBK EUR500M0.625%N230717                              XS1857091166        FKAB      KorDevBkn0.625%230717S
KOREADEBK HKD201M1.85%N230227                               XS2124940623        GWTB      KoreaDevBkn1.85%230227S
KOREADEBK INR3.2B6.9%N230220A                               XS1772331531        8IGB      KoreaDevBk n6.9%230220A
KOREADEBK INR3.2B6.9%N230220R                               XS1772329477        8IHB      KoreaDevBk n6.9%230220R
KOREADEBK NZD27M2.6%N310601                                 XS2346947315        QSRB      KoreaDevBkn2.6%310601S
KOREADEBK US$300M1.625%N310119                              US500630DH88        IIUB      KoreaDevBkn1.625%310119S
KOREADEBK US$350M2.75%N230319                               US500630CS52        7Y2B      KoreaDevBkn2.75%230319S
KOREADEBK US$40MF250429                                     XS2164425477        IATB      KorDeBk f250429 S
KOREADEBK US$500M0.8%N260719                                US500630DG06        FEFB      KoreaDevBkn0.8%260719S
KOREADEBK US$500M1.375%N190912                              US500630CK27        4S0B      KorDeBkn1.375%190912S
KOREADEBK US$500M2%N260912                                  US500630CL00        4S1B      KorDeBkn2%260912S
KOREADEBK US$500M3.375%N230312                              US500630CU09        8LZB      KoreaDevBkn3.375%230312S
KOREADEBK US$50M1.36%N230515                                XS2174790027        QAUB      KoreaDevBkn1.36%230515S
KOREADEBK US$50M3.8%N380129                                 XS1759607671        8GWB      KoreaDevBkn3.8%380129S
KOREADEBK US$50M4.1%N480319                                 XS1792141480        8NIB      KoreaDevBkn4.1%480319S
KOREADEBK US$50MF250507                                     XS2168268923        YMFB      KorDeBk f250507 S
KOREADEBK US$700M0.4%N240619                                US500630DF23        YKFB      KoreaDevBkn0.4%240619S
KOREADEBK USD500M2.625%N220227                              US500630CP14        6D3B      KoreaDevBkn2.625%220227S
KOREADEBK USD500M3%N220319                                  US500630CV81        SXXB      KoreaDevBkn3%220319S
KOREADEBK USD500M3.25%N240219                               US500630CW64        OUFB      KoreaDevBkn3.25%240219S
KOREADEVBK A$26M1.51%N221119                                XS2081163474        YQ8B      KorDevBk n1.51%221119S
KOREADEVBK A$50M1.515%N221119                               XS2080558955        JLIB      KorDevBk n1.515%221119S
KOREADEVBK AUD30M2.55%N410928                               XS2389355632        GORB      KoreaDevBk n2.55%410928S
KOREADEVBK AUD30M3%N270317                                  XS2458287567        SODB      KoreaDevBk n3%270317S
KOREADEVBK AUD30M3.19%N411126                               XS2414810007        X2IB      KoreaDevBk n3.19%411126S
KOREADEVBK AUD40M2.5%N410928                                XS2389355392        W1DB      KoreaDevBk n2.5%410928S
KOREADEVBK AUD50M2.78%N411018                               XS2397772281        Y9YB      KoreaDevBk n2.78%411018S
KOREADEVBK AUD60M2.55%N360930                               XS2392906553        XSMB      KoreaDevBk n2.55%360930S
KOREADEVBK CNY150M2.8%N220812                               XS2215331195        UTHB      KoreaDevBk n2.8%220812S
KOREADEVBK CNY150M3.59%N240615                              XS2493168731        W6NB      KorDevBk n3.59%240615S
KOREADEVBK CNY150M3.72%N240615                              XS2496446506        LVWB      KorDeBkn3.72%240615S
KOREADEVBK CNY150M4.45%N231108                              XS0988388301        2M2B      KorDeBkn4.45%231108S
KOREADEVBK CNY1B3.55%N180619                                XS1249382018        31OB      KoreaDevB n3.55%180619S
KOREADEVBK CNY200M2.9%N220407                               XS2326083313        SFBB      KoreaDevBkn2.9%220407S
KOREADEVBK CNY210M4.1%N231218                               XS1003269575        2R8B      KorDevBkn4.1%231218S
KOREADEVBK CNY250M2.6%N230515                               XS2174394267        WQQB      KoreaDevBkn2.6%230515S
KOREADEVBK CNY270M2.8%N220907                               XS2225280119        YD6B      KoreaDevBkn2.8%220907S
KOREADEVBK CNY287M3.01%N250506                              XS2167832638        ZJYB      KorDevBk n3.01%250506S
KOREADEVBK CNY355M2.7%N230514                               XS2173128096        YPTB      KoreaDevBkn2.7%230514S
KOREADEVBK EUR500M N240710                                  XS2022179159        QWQB      KorDevBk n240710S
KOREADEVBK GBP250M1.75%N221215                              XS1710541506        83NB      KorDevBk n1.75%221215S
KOREADEVBK GBP36M2.045%N290318                              XS2458343576        IXEB      KorDevBkn2.045%290318S
KOREADEVBK IDR615B6%N250123                                 XS2107584299        5S1B      KorDevBk n6%250123S
KOREADEVBK IDR670B7%N221130A                                XS1728868503        8COB      KorDevBk n7%221130A
KOREADEVBK IDR670B7%N221130R                                XS1728935385        8CPB      KorDevBk n7%221130R
KOREADEVBK IDR680B6%N250122                                 XS2105040872        FYPB      KorDevBk n6%250122S
KOREADEVBK NZD27M2.6%N310609                                XS2348688537        9LYB      KorDevBkn2.6%310609S
KOREADEVBK NZD27M2.6%N310616                                XS2351299578        JQTB      KorDevBkn2.6%310616S
KOREADEVBK NZD29M3%N311008                                  XS2393986935        9PRB      KoreaDevBk n3%311008S
